,Mexico City area,venustiano carranza,"san andres cholula, puebla, san pedro cholula, cuautlancingo, tlaxcala, atlixco, ocoyucan, coronango","zapopan, guadalajara, tlajomulco de zuniga, tlaquepaque, zapopan, jalisco, san pedro tlaquepaque, zapopan jalisco, guadalajara, jalisco, guadalajara jalisco, tlajomulco","monterrey, san pedro garza garcia, santa catarina, san nicolas de los garza, apodaca, guadalupe, garcia, general escobedo, monterrey, nuevo leon, monterrey nuevo leon, guadalupe, nuevo leon",queretaro,"benito juarez, cancun, playa del carmen, puerto morelos","merida, merida, yucatan, merida yucatan",san luis potosi,"leon, lopez mateos, leon, guanajuato","puerto vallarta, bahia de banderas","xalapa, veracruz",saltillo,"el marques, corregidora, santiago de queretaro, el marques, queretaro, corregidora, queretaro",aguascalientes,morelia,culiacan,chihuahua,"oaxaca de juarez, oaxaca",celaya,tulum,san miguel de allende,"pachuca, pachuca de soto, mineral de la reforma",tijuana,boca del rio,"colima, manzanillo, villa de alvarez",hermosillo,villahermosa,la paz,mazatlan,tuxtla gutierrez,"san jose del cabo, cabo san lucas",san juan del rio,puerto escondido,coatzacoalcos,"acapulco, acapulco de juarez",mexicali,"orizaba, cordoba",juarez,alvarado,tepic,tonala,durango,torreon,leon guanajuato,san cristobal de las casas,tampico,los mochis,cuautla,ensenada,tehuacan
tepic,748.26,1648.05,865.46,206.31,998.21,662.06,2335.99,2043.82,628.7,436.84,151.37,1030.48,904.88,594.52,422.14,513.36,479.6,1140.32,1212.39,541.01,2265.17,540.86,759.84,2017.57,1113.96,406.65,1151.63,1487.22,918.0,273.69,1565.99,1100.16,643.32,1389.69,1328.45,959.41,1849.65,1011.69,1518.81,1178.22,0.0,1626.72,573.37,702.09,1655.45,1626.17,984.39,673.98,243.62,2080.55,990.23
tonala,892.24,247.15,779.54,1425.95,1530.17,1108.95,1206.48,914.3,1347.59,1251.29,1707.21,681.33,1718.76,1091.69,1369.38,1201.06,2110.25,2314.66,417.92,1134.55,1135.65,1145.43,905.84,3648.22,599.93,1642.95,2782.28,357.71,2548.66,1904.34,166.32,2730.81,1043.63,491.94,361.27,890.53,3480.3,605.07,2693.15,526.61,1628.48,0.0,1893.87,1876.44,192.07,226.51,1028.08,2304.64,1606.25,3711.2,642.92
durango,1014.29,1914.58,1131.99,743.97,658.15,887.4,2602.52,2310.34,663.22,662.18,722.58,1297.0,572.65,819.86,520.98,855.79,565.58,651.38,1478.92,766.35,2531.69,766.2,1026.37,2131.22,1380.49,978.77,1237.62,1753.75,1003.99,359.68,1832.51,1186.15,868.66,1656.22,1594.97,1382.97,1942.38,1278.21,948.76,1444.75,573.61,1893.25,0.0,306.69,1921.97,1892.7,1018.91,759.97,815.74,2168.91,1256.75
torreon,999.08,1899.37,1116.78,728.76,341.75,872.19,2587.31,2295.13,647.98,646.98,851.83,1281.8,256.25,804.65,505.78,840.58,694.83,462.77,1463.71,751.14,2516.48,750.99,1011.16,2023.72,1365.28,960.0,1366.87,1738.54,1133.24,488.93,1817.3,1315.4,853.45,1641.01,1579.77,1367.76,1834.88,1263.01,841.26,1429.54,702.86,1878.04,306.76,0.0,1906.77,1877.49,838.05,889.22,909.06,2061.41,1241.54
leon guanajuato,929.53,130.52,816.83,1463.24,1571.59,1146.24,1179.35,887.18,1384.88,1288.58,1744.5,722.76,1653.03,1128.98,1406.67,1238.35,2147.54,2351.95,529.91,1171.84,1108.53,1182.72,943.13,3685.51,641.36,1680.24,2819.57,330.58,2585.95,1941.64,96.5,2768.11,1080.92,603.94,334.14,1002.53,3517.59,646.5,2811.02,568.04,1665.77,191.52,1931.16,1913.73,0.0,141.38,1069.51,2341.93,1643.54,3748.49,722.38
san cristobal de las casas,899.81,85.58,787.1,1433.51,1541.87,1116.51,1038.44,746.26,1355.15,1258.86,1714.78,693.03,1623.3,1099.25,1376.95,1208.62,2117.81,2322.23,563.85,1142.11,967.61,1153.0,913.41,3655.79,611.63,1650.52,2789.85,226.81,2556.22,1911.91,60.77,2738.38,1051.2,637.87,304.42,1166.26,3487.87,616.77,2781.3,538.31,1636.04,225.45,1901.44,1884.0,141.55,0.0,1039.78,2312.2,1613.81,3718.77,692.66
tampico,450.38,1060.89,446.07,782.85,507.13,407.72,1748.83,1456.65,366.49,598.75,1064.11,458.3,588.57,597.45,619.12,706.82,1467.15,1298.55,766.95,640.31,1678.0,651.2,377.52,2924.53,449.01,1014.09,2139.18,900.06,1905.56,1261.25,978.82,2087.72,549.39,944.25,741.28,825.46,2735.69,554.86,1746.56,502.17,985.38,1026.76,1017.33,833.57,1068.29,1039.01,0.0,1661.54,963.15,2962.22,544.78
los mochis,1420.77,2320.56,1537.97,878.82,1240.3,1334.56,3008.5,2716.32,1301.21,1109.35,822.97,1702.98,1154.8,1267.03,1094.65,1185.87,220.91,878.57,1884.9,1213.51,2937.67,1213.37,1432.35,1352.3,1786.47,1079.16,486.36,2159.73,247.17,413.5,2238.49,429.33,1315.83,2062.2,2000.96,1631.91,1184.38,1684.2,1323.79,1850.73,674.0,2299.23,760.12,888.84,2327.96,2298.68,1656.89,0.0,916.13,1415.28,1662.73
cuautla,725.99,1625.78,843.19,184.04,975.93,639.78,2313.72,2021.54,606.43,414.57,164.73,1008.2,882.61,572.25,399.87,491.09,725.61,1345.15,1190.12,518.73,2242.89,518.59,737.57,2263.58,1091.69,297.35,1397.64,1464.95,1164.02,519.71,1543.71,1346.18,621.05,1367.42,1306.18,903.12,2095.66,989.42,1723.64,1155.95,243.84,1604.45,819.39,906.92,1633.18,1603.9,962.11,920.0,0.0,2326.57,967.95
ensenada,2831.34,3731.13,2948.54,2289.39,2461.67,2745.13,4419.07,4126.89,2770.59,2519.92,2233.54,3113.55,2157.54,2677.6,2379.04,2596.44,1631.48,1458.56,3295.47,2624.08,4348.24,2623.94,2842.92,104.44,3197.04,2489.73,929.72,3570.3,1371.08,1824.08,3649.06,1541.81,2726.4,3472.77,3411.53,3042.48,238.99,3094.77,1221.28,3261.3,2084.57,3709.8,2005.46,1898.64,3738.53,3709.25,2959.29,1418.97,2326.7,0.0,3073.3
tehuacan,254.6,715.02,141.9,788.31,1044.62,471.31,1402.96,1110.79,709.95,613.66,1069.57,259.15,1081.12,454.05,731.74,563.42,1472.61,1677.03,227.63,496.91,1332.13,507.79,268.2,3010.58,203.89,1005.32,2144.64,554.19,1911.02,1266.71,632.96,2093.18,405.99,404.93,395.42,521.05,2842.66,78.66,2055.51,245.19,990.84,641.96,1256.23,1238.8,722.42,693.14,542.54,1667.0,968.61,3073.57,0.0
