,Venustiano Carranza,"San Andrés Cholula, Puebla, San Pedro Cholula, Cuautlancingo, PUEBLA, Tlaxcala","Zapopan, Guadalajara, ZAPOPAN, GUADALAJARA, zapopan, Tlaquepaque, guadalajara, Tlajomulco de Zúñiga, Zapopan, Jalisco, Tlajomulco de Zuñiga, San Pedro Tlaquepaque","Monterrey, San Pedro Garza Garcia, San Pedro Garza García, Santa Catarina, Apodaca, Guadalupe, MONTERREY, monterrey, San Nicolás de los Garza, San Nicolas de los Garza, Garcia, SAN PEDRO GARZA GARCIA, General Escobedo","Benito Juárez, Cancun, Benito Juarez, Cancún, BENITO JUAREZ, CANCUN","Mexico, México, MEXICO, mexico","Queretaro, Querétaro, QUERETARO, queretaro","Merida, Mérida, MERIDA, merida",Puerto Vallarta,"San Luis Potosí, San Luis Potosi, SAN LUIS POTOSI","Leon, León, LEON","Xalapa, Veracruz",Playa del Carmen,Saltillo,Aguascalientes,Morelia,Chihuahua,"Corregidora, El Marqués, El Marques, Santiago de Querétaro",Celaya,Tulum,San Miguel de Allende,"Oaxaca, Oaxaca de Juárez","Culiacan, Culiacán",Tijuana,Hermosillo,Colima,Villahermosa,La Paz,Puerto Escondido,Coatzacoalcos,Mexicali,Acapulco,Tepic
Venustiano Carranza,0.0,792.96,1454.63,1565.03,1106.46,1638.88,1138.4,807.59,1766.21,1377.04,1283.84,714.92,1035.63,1645.19,1398.84,1230.52,2344.12,1127.36,1164.0,1028.94,1174.89,585.74,2139.71,3677.68,2811.74,1669.65,322.75,2578.11,659.76,326.31,3509.76,1188.15,1657.93
"San Andrés Cholula, Puebla, San Pedro Cholula, Cuautlancingo, PUEBLA, Tlaxcala",784.99,0.0,667.32,1026.82,1479.62,851.58,351.1,1180.75,978.9,589.74,496.53,197.9,1464.29,960.91,611.53,443.21,1556.81,340.06,376.7,1402.1,387.59,349.32,1352.4,2890.37,2024.43,882.35,624.16,1790.81,526.63,465.38,2722.45,389.99,870.63
"Zapopan, Guadalajara, ZAPOPAN, GUADALAJARA, zapopan, Tlaquepaque, guadalajara, Tlajomulco de Zúñiga, Zapopan, Jalisco, Tlajomulco de Zuñiga, San Pedro Tlaquepaque",1445.21,667.26,0.0,793.75,2139.85,459.35,459.22,1840.98,311.64,425.87,221.86,827.64,2124.52,702.04,219.3,310.52,1164.58,399.33,338.17,2062.33,338.02,1009.55,685.14,2223.11,1357.17,227.26,1284.38,1123.55,1186.85,1125.61,2055.19,756.57,203.37
"Monterrey, San Pedro Garza Garcia, San Pedro Garza García, Santa Catarina, Apodaca, Guadalupe, MONTERREY, monterrey, San Nicolás de los Garza, San Nicolas de los Garza, Garcia, SAN PEDRO GARZA GARCIA, General Escobedo",1572.35,1029.87,793.13,0.0,2266.98,340.24,769.33,1968.11,1104.71,461.03,699.98,969.75,2251.65,90.32,570.92,849.23,800.3,710.49,749.21,2189.46,680.31,1278.4,1039.64,2429.05,1711.67,1022.39,1411.52,1478.05,1455.7,1252.74,2240.21,1276.21,996.44
"Benito Juárez, Cancun, Benito Juarez, Cancún, BENITO JUAREZ, CANCUN",1107.72,1488.07,2149.74,2260.15,0.0,2334.0,1833.52,305.77,2461.32,2072.16,1978.95,1410.04,67.35,2340.31,2093.95,1925.63,3039.23,1822.48,1859.12,140.03,1870.01,1492.24,2834.82,4372.79,3506.85,2364.77,855.71,3273.23,1566.27,1021.42,4204.87,1883.26,2353.05
"Mexico, México, MEXICO, mexico",1633.56,855.6,462.17,341.85,2328.19,0.0,606.38,2029.32,773.75,339.81,369.02,1015.98,2312.87,250.15,239.96,574.77,874.31,546.49,485.33,2250.67,485.18,1197.9,813.84,2435.25,1485.87,691.43,1472.73,1252.24,1375.2,1313.95,2246.42,1101.95,665.47
"Queretaro, Querétaro, QUERETARO, queretaro",1126.41,348.45,459.93,765.57,1821.05,547.09,0.0,1522.17,771.51,328.48,247.66,508.83,1805.72,699.65,362.66,287.97,1307.95,78.82,127.83,1743.52,126.33,690.75,1145.01,2682.98,1817.04,689.19,965.58,1583.42,868.05,806.8,2515.06,594.8,663.24
"Merida, Mérida, MERIDA, merida",807.91,1188.26,1849.93,1960.34,306.41,2034.19,1533.71,0.0,2161.51,1772.35,1679.14,1110.22,291.08,2040.5,1794.14,1625.82,2739.42,1522.67,1559.31,228.89,1570.2,1192.43,2535.01,4072.98,3207.04,2064.96,555.89,2973.42,1266.46,721.61,3905.06,1583.45,2053.24
Puerto Vallarta,1753.57,975.61,309.77,1102.1,2448.2,767.7,767.57,2149.33,0.0,734.22,530.21,1135.99,2432.88,1010.39,527.65,618.88,1316.85,707.69,646.52,2370.68,646.37,1317.91,656.13,2194.1,1328.16,355.75,1592.74,1094.54,1336.1,1433.96,2026.18,936.9,178.87
"San Luis Potosí, San Luis Potosi, SAN LUIS POTOSI",1382.5,604.55,403.53,458.29,2077.14,339.81,344.01,1778.27,715.11,0.0,269.1,764.93,2061.81,392.37,240.8,423.91,1109.09,285.17,323.9,1999.62,254.99,946.84,1088.61,2670.03,1760.64,632.79,1221.67,1527.02,1124.14,1062.9,2481.19,850.9,606.84
